model_pair,size,sum
"[""amazon.nova-pro-v1:0"", ""llama-4-maverick-03-26-experimental""]",90,20
"[""amazon.nova-pro-v1:0"", ""llama-4-maverick-17b-128e-instruct""]",53,20
"[""amazon.nova-pro-v1:0"", ""llama-4-scout-17b-16e-instruct""]",22,14
"[""amazon.nova-pro-v1:0"", ""magistral-medium-2506""]",23,11
"[""amazon.nova-pro-v1:0"", ""minimax-m1""]",78,21
"[""amazon.nova-pro-v1:0"", ""mistral-medium-2505""]",137,25
"[""amazon.nova-pro-v1:0"", ""mistral-small-2506""]",25,6
"[""amazon.nova-pro-v1:0"", ""mistral-small-3.1-24b-instruct-2503""]",26,12
"[""amazon.nova-pro-v1:0"", ""o3-2025-04-16""]",142,39
"[""amazon.nova-pro-v1:0"", ""o3-mini""]",79,26
"[""amazon.nova-pro-v1:0"", ""o4-mini-2025-04-16""]",80,21
"[""amazon.nova-pro-v1:0"", ""qwen-max-2025-01-25""]",49,8
"[""amazon.nova-pro-v1:0"", ""qwen3-235b-a22b""]",71,25
"[""amazon.nova-pro-v1:0"", ""qwen3-235b-a22b-instruct-2507""]",13,5
"[""amazon.nova-pro-v1:0"", ""qwen3-235b-a22b-no-thinking""]",152,34
"[""amazon.nova-pro-v1:0"", ""qwen3-30b-a3b""]",68,24
"[""amazon.nova-pro-v1:0"", ""qwq-32b""]",49,16
"[""chatgpt-4o-latest-20250326"", ""claude-3-5-haiku-20241022""]",145,120
"[""chatgpt-4o-latest-20250326"", ""claude-3-5-sonnet-20241022""]",164,122
"[""chatgpt-4o-latest-20250326"", ""claude-3-7-sonnet-20250219""]",146,104
"[""chatgpt-4o-latest-20250326"", ""claude-3-7-sonnet-20250219-thinking-32k""]",114,87
"[""chatgpt-4o-latest-20250326"", ""claude-opus-4-20250514""]",157,104
"[""chatgpt-4o-latest-20250326"", ""claude-opus-4-20250514-thinking-16k""]",87,48
"[""chatgpt-4o-latest-20250326"", ""claude-sonnet-4-20250514""]",132,83
"[""chatgpt-4o-latest-20250326"", ""claude-sonnet-4-20250514-thinking-32k""]",82,52
"[""chatgpt-4o-latest-20250326"", ""command-a-03-2025""]",117,89
"[""chatgpt-4o-latest-20250326"", ""deepseek-r1-0528""]",81,40
"[""chatgpt-4o-latest-20250326"", ""deepseek-v3-0324""]",98,61
"[""chatgpt-4o-latest-20250326"", ""gemini-2.0-flash-001""]",122,75
"[""chatgpt-4o-latest-20250326"", ""gemini-2.0-flash-thinking-exp-01-21""]",17,8
"[""chatgpt-4o-latest-20250326"", ""gemini-2.5-flash""]",148,86
"[""chatgpt-4o-latest-20250326"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",77,45
"[""chatgpt-4o-latest-20250326"", ""gemini-2.5-flash-preview-04-17""]",92,50
"[""chatgpt-4o-latest-20250326"", ""gemini-2.5-pro""]",119,47
"[""chatgpt-4o-latest-20250326"", ""gemini-2.5-pro-preview-03-25""]",128,56
"[""chatgpt-4o-latest-20250326"", ""gemini-2.5-pro-preview-05-06""]",47,23
"[""chatgpt-4o-latest-20250326"", ""gemma-3-27b-it""]",141,91
"[""chatgpt-4o-latest-20250326"", ""gemma-3n-e4b-it""]",42,28
"[""chatgpt-4o-latest-20250326"", ""gpt-4.1-2025-04-14""]",109,68
"[""chatgpt-4o-latest-20250326"", ""gpt-4.1-mini-2025-04-14""]",96,68
"[""chatgpt-4o-latest-20250326"", ""gpt-4o-2024-11-20""]",23,13
"[""chatgpt-4o-latest-20250326"", ""gpt-4o-mini-2024-07-18""]",35,28
"[""chatgpt-4o-latest-20250326"", ""grok-3-mini-beta""]",114,66
"[""chatgpt-4o-latest-20250326"", ""grok-3-mini-high""]",40,29
"[""chatgpt-4o-latest-20250326"", ""grok-3-preview-02-24""]",126,60
"[""chatgpt-4o-latest-20250326"", ""grok-4-0709""]",9,6
"[""chatgpt-4o-latest-20250326"", ""hunyuan-turbos-20250416""]",15,13
"[""chatgpt-4o-latest-20250326"", ""kimi-k2-0711-preview""]",32,18
"[""chatgpt-4o-latest-20250326"", ""llama-3.3-70b-instruct""]",108,83
"[""chatgpt-4o-latest-20250326"", ""llama-4-maverick-03-26-experimental""]",65,36
"[""chatgpt-4o-latest-20250326"", ""llama-4-maverick-17b-128e-instruct""]",117,82
"[""chatgpt-4o-latest-20250326"", ""llama-4-scout-17b-16e-instruct""]",30,22
"[""chatgpt-4o-latest-20250326"", ""magistral-medium-2506""]",32,22
"[""chatgpt-4o-latest-20250326"", ""minimax-m1""]",70,47
"[""chatgpt-4o-latest-20250326"", ""mistral-medium-2505""]",153,97
"[""chatgpt-4o-latest-20250326"", ""mistral-small-2506""]",35,26
"[""chatgpt-4o-latest-20250326"", ""mistral-small-3.1-24b-instruct-2503""]",39,36
"[""chatgpt-4o-latest-20250326"", ""o3-2025-04-16""]",147,75
"[""chatgpt-4o-latest-20250326"", ""o3-mini""]",118,74
"[""chatgpt-4o-latest-20250326"", ""o4-mini-2025-04-16""]",138,73
"[""chatgpt-4o-latest-20250326"", ""qwen-max-2025-01-25""]",80,49
"[""chatgpt-4o-latest-20250326"", ""qwen3-235b-a22b""]",90,62
"[""chatgpt-4o-latest-20250326"", ""qwen3-235b-a22b-instruct-2507""]",7,5
"[""chatgpt-4o-latest-20250326"", ""qwen3-235b-a22b-no-thinking""]",110,75
"[""chatgpt-4o-latest-20250326"", ""qwen3-30b-a3b""]",89,76
"[""chatgpt-4o-latest-20250326"", ""qwq-32b""]",108,70
"[""claude-3-5-haiku-20241022"", ""claude-3-5-sonnet-20241022""]",79,39
"[""claude-3-5-haiku-20241022"", ""claude-3-7-sonnet-20250219""]",81,33
"[""claude-3-5-haiku-20241022"", ""claude-3-7-sonnet-20250219-thinking-32k""]",77,40
"[""claude-3-5-haiku-20241022"", ""claude-opus-4-20250514""]",152,48
"[""claude-3-5-haiku-20241022"", ""claude-opus-4-20250514-thinking-16k""]",80,24
"[""claude-3-5-haiku-20241022"", ""claude-sonnet-4-20250514""]",118,37
"[""claude-3-5-haiku-20241022"", ""claude-sonnet-4-20250514-thinking-32k""]",78,31
"[""claude-3-5-haiku-20241022"", ""command-a-03-2025""]",73,24
"[""claude-3-5-haiku-20241022"", ""deepseek-r1-0528""]",112,17
"[""claude-3-5-haiku-20241022"", ""deepseek-v3-0324""]",92,27
"[""claude-3-5-haiku-20241022"", ""gemini-2.0-flash-001""]",93,23
"[""claude-3-5-haiku-20241022"", ""gemini-2.0-flash-thinking-exp-01-21""]",6,2
"[""claude-3-5-haiku-20241022"", ""gemini-2.5-flash""]",137,29
"[""claude-3-5-haiku-20241022"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",56,15
"[""claude-3-5-haiku-20241022"", ""gemini-2.5-flash-preview-04-17""]",93,32
"[""claude-3-5-haiku-20241022"", ""gemini-2.5-pro""]",141,17
"[""claude-3-5-haiku-20241022"", ""gemini-2.5-pro-preview-03-25""]",34,6
"[""claude-3-5-haiku-20241022"", ""gemini-2.5-pro-preview-05-06""]",50,11
"[""claude-3-5-haiku-20241022"", ""gemma-3-27b-it""]",111,26
"[""claude-3-5-haiku-20241022"", ""gemma-3n-e4b-it""]",42,16
"[""claude-3-5-haiku-20241022"", ""gpt-4.1-2025-04-14""]",78,21
"[""claude-3-5-haiku-20241022"", ""gpt-4.1-mini-2025-04-14""]",79,22
"[""claude-3-5-haiku-20241022"", ""gpt-4o-2024-11-20""]",10,2
"[""claude-3-5-haiku-20241022"", ""gpt-4o-mini-2024-07-18""]",14,6
"[""claude-3-5-haiku-20241022"", ""grok-3-mini-beta""]",92,15
"[""claude-3-5-haiku-20241022"", ""grok-3-mini-high""]",39,13
"[""claude-3-5-haiku-20241022"", ""grok-3-preview-02-24""]",98,25
"[""claude-3-5-haiku-20241022"", ""grok-4-0709""]",24,3
"[""claude-3-5-haiku-20241022"", ""hunyuan-turbos-20250416""]",18,2
"[""claude-3-5-haiku-20241022"", ""kimi-k2-0711-preview""]",42,11
"[""claude-3-5-haiku-20241022"", ""llama-3.3-70b-instruct""]",61,26
"[""claude-3-5-haiku-20241022"", ""llama-4-maverick-03-26-experimental""]",107,22
"[""claude-3-5-haiku-20241022"", ""llama-4-maverick-17b-128e-instruct""]",79,31
"[""claude-3-5-haiku-20241022"", ""llama-4-scout-17b-16e-instruct""]",27,10
"[""claude-3-5-haiku-20241022"", ""magistral-medium-2506""]",25,13
"[""claude-3-5-haiku-20241022"", ""minimax-m1""]",71,20
"[""claude-3-5-haiku-20241022"", ""mistral-medium-2505""]",138,34
"[""claude-3-5-haiku-20241022"", ""mistral-small-2506""]",26,3
"[""claude-3-5-haiku-20241022"", ""mistral-small-3.1-24b-instruct-2503""]",36,18
"[""claude-3-5-haiku-20241022"", ""o3-2025-04-16""]",130,31
"[""claude-3-5-haiku-20241022"", ""o3-mini""]",96,30
"[""claude-3-5-haiku-20241022"", ""o4-mini-2025-04-16""]",103,23
"[""claude-3-5-haiku-20241022"", ""qwen-max-2025-01-25""]",64,13
"[""claude-3-5-haiku-20241022"", ""qwen3-235b-a22b""]",64,19
"[""claude-3-5-haiku-20241022"", ""qwen3-235b-a22b-instruct-2507""]",10,3
"[""claude-3-5-haiku-20241022"", ""qwen3-235b-a22b-no-thinking""]",120,23
"[""claude-3-5-haiku-20241022"", ""qwen3-30b-a3b""]",64,16
"[""claude-3-5-haiku-20241022"", ""qwq-32b""]",56,20
"[""claude-3-5-sonnet-20241022"", ""claude-3-7-sonnet-20250219""]",96,49
"[""claude-3-5-sonnet-20241022"", ""claude-3-7-sonnet-20250219-thinking-32k""]",81,47
"[""claude-3-5-sonnet-20241022"", ""claude-opus-4-20250514""]",131,35
"[""claude-3-5-sonnet-20241022"", ""claude-opus-4-20250514-thinking-16k""]",81,20
"[""claude-3-5-sonnet-20241022"", ""claude-sonnet-4-20250514""]",102,35
"[""claude-3-5-sonnet-20241022"", ""claude-sonnet-4-20250514-thinking-32k""]",76,28
"[""claude-3-5-sonnet-20241022"", ""command-a-03-2025""]",86,41
"[""claude-3-5-sonnet-20241022"", ""deepseek-r1-0528""]",90,25
"[""claude-3-5-sonnet-20241022"", ""deepseek-v3-0324""]",86,29
"[""claude-3-5-sonnet-20241022"", ""gemini-2.0-flash-001""]",204,81
"[""claude-3-5-sonnet-20241022"", ""gemini-2.0-flash-thinking-exp-01-21""]",16,9
"[""claude-3-5-sonnet-20241022"", ""gemini-2.5-flash""]",153,35
"[""claude-3-5-sonnet-20241022"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",86,26
"[""claude-3-5-sonnet-20241022"", ""gemini-2.5-flash-preview-04-17""]",85,24
"[""claude-3-5-sonnet-20241022"", ""gemini-2.5-pro""]",136,24
"[""claude-3-5-sonnet-20241022"", ""gemini-2.5-pro-preview-03-25""]",62,11
"[""claude-3-5-sonnet-20241022"", ""gemini-2.5-pro-preview-05-06""]",39,8
"[""claude-3-5-sonnet-20241022"", ""gemma-3-27b-it""]",124,47
"[""claude-3-5-sonnet-20241022"", ""gemma-3n-e4b-it""]",29,14
"[""claude-3-5-sonnet-20241022"", ""gpt-4.1-2025-04-14""]",119,32
"[""claude-3-5-sonnet-20241022"", ""gpt-4.1-mini-2025-04-14""]",85,36
"[""claude-3-5-sonnet-20241022"", ""gpt-4o-2024-11-20""]",18,7
"[""claude-3-5-sonnet-20241022"", ""gpt-4o-mini-2024-07-18""]",24,19
"[""claude-3-5-sonnet-20241022"", ""grok-3-mini-beta""]",100,39
"[""claude-3-5-sonnet-20241022"", ""grok-3-mini-high""]",44,14
"[""claude-3-5-sonnet-20241022"", ""grok-3-preview-02-24""]",120,32
"[""claude-3-5-sonnet-20241022"", ""grok-4-0709""]",29,8
"[""claude-3-5-sonnet-20241022"", ""hunyuan-turbos-20250416""]",19,6
"[""claude-3-5-sonnet-20241022"", ""kimi-k2-0711-preview""]",41,12
"[""claude-3-5-sonnet-20241022"", ""llama-3.3-70b-instruct""]",83,49
"[""claude-3-5-sonnet-20241022"", ""llama-4-maverick-03-26-experimental""]",86,21
"[""claude-3-5-sonnet-20241022"", ""llama-4-maverick-17b-128e-instruct""]",84,40
"[""claude-3-5-sonnet-20241022"", ""llama-4-scout-17b-16e-instruct""]",28,18
"[""claude-3-5-sonnet-20241022"", ""magistral-medium-2506""]",30,19
"[""claude-3-5-sonnet-20241022"", ""minimax-m1""]",77,18
"[""claude-3-5-sonnet-20241022"", ""mistral-medium-2505""]",112,34
"[""claude-3-5-sonnet-20241022"", ""mistral-small-2506""]",31,14
"[""claude-3-5-sonnet-20241022"", ""mistral-small-3.1-24b-instruct-2503""]",47,23
"[""claude-3-5-sonnet-20241022"", ""o3-2025-04-16""]",149,31
"[""claude-3-5-sonnet-20241022"", ""o3-mini""]",111,40
"[""claude-3-5-sonnet-20241022"", ""o4-mini-2025-04-16""]",111,30
"[""claude-3-5-sonnet-20241022"", ""qwen-max-2025-01-25""]",73,23
"[""claude-3-5-sonnet-20241022"", ""qwen3-235b-a22b""]",83,26
"[""claude-3-5-sonnet-20241022"", ""qwen3-235b-a22b-instruct-2507""]",6,2
"[""claude-3-5-sonnet-20241022"", ""qwen3-235b-a22b-no-thinking""]",111,22
"[""claude-3-5-sonnet-20241022"", ""qwen3-30b-a3b""]",78,36
"[""claude-3-5-sonnet-20241022"", ""qwq-32b""]",73,26
"[""claude-3-7-sonnet-20250219"", ""claude-3-7-sonnet-20250219-thinking-32k""]",94,35
"[""claude-3-7-sonnet-20250219"", ""claude-opus-4-20250514""]",154,30
"[""claude-3-7-sonnet-20250219"", ""claude-opus-4-20250514-thinking-16k""]",80,23
"[""claude-3-7-sonnet-20250219"", ""claude-sonnet-4-20250514""]",115,44
"[""claude-3-7-sonnet-20250219"", ""claude-sonnet-4-20250514-thinking-32k""]",85,26
"[""claude-3-7-sonnet-20250219"", ""command-a-03-2025""]",111,41
"[""claude-3-7-sonnet-20250219"", ""deepseek-r1-0528""]",126,28
"[""claude-3-7-sonnet-20250219"", ""deepseek-v3-0324""]",79,20
"[""claude-3-7-sonnet-20250219"", ""gemini-2.0-flash-001""]",113,42
"[""claude-3-7-sonnet-20250219"", ""gemini-2.0-flash-thinking-exp-01-21""]",12,2
"[""claude-3-7-sonnet-20250219"", ""gemini-2.5-flash""]",178,52
"[""claude-3-7-sonnet-20250219"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",72,26
"[""claude-3-7-sonnet-20250219"", ""gemini-2.5-flash-preview-04-17""]",76,20
"[""claude-3-7-sonnet-20250219"", ""gemini-2.5-pro""]",182,43
"[""claude-3-7-sonnet-20250219"", ""gemini-2.5-pro-preview-03-25""]",37,9
"[""claude-3-7-sonnet-20250219"", ""gemini-2.5-pro-preview-05-06""]",62,10
"[""claude-3-7-sonnet-20250219"", ""gemma-3-27b-it""]",124,43
"[""claude-3-7-sonnet-20250219"", ""gemma-3n-e4b-it""]",39,12
"[""claude-3-7-sonnet-20250219"", ""gpt-4.1-2025-04-14""]",92,27
"[""claude-3-7-sonnet-20250219"", ""gpt-4.1-mini-2025-04-14""]",104,35
"[""claude-3-7-sonnet-20250219"", ""gpt-4o-2024-11-20""]",20,9
"[""claude-3-7-sonnet-20250219"", ""gpt-4o-mini-2024-07-18""]",8,6
"[""claude-3-7-sonnet-20250219"", ""grok-3-mini-beta""]",111,47
"[""claude-3-7-sonnet-20250219"", ""grok-3-mini-high""]",42,14
"[""claude-3-7-sonnet-20250219"", ""grok-3-preview-02-24""]",107,35
"[""claude-3-7-sonnet-20250219"", ""grok-4-0709""]",29,4
"[""claude-3-7-sonnet-20250219"", ""hunyuan-turbos-20250416""]",15,5
"[""claude-3-7-sonnet-20250219"", ""kimi-k2-0711-preview""]",37,14
"[""claude-3-7-sonnet-20250219"", ""llama-3.3-70b-instruct""]",64,40
"[""claude-3-7-sonnet-20250219"", ""llama-4-maverick-03-26-experimental""]",86,25
"[""claude-3-7-sonnet-20250219"", ""llama-4-maverick-17b-128e-instruct""]",91,42
"[""claude-3-7-sonnet-20250219"", ""llama-4-scout-17b-16e-instruct""]",44,19
"[""claude-3-7-sonnet-20250219"", ""magistral-medium-2506""]",19,9
"[""claude-3-7-sonnet-20250219"", ""minimax-m1""]",93,19
"[""claude-3-7-sonnet-20250219"", ""mistral-medium-2505""]",159,41
"[""claude-3-7-sonnet-20250219"", ""mistral-small-2506""]",29,15
"[""claude-3-7-sonnet-20250219"", ""mistral-small-3.1-24b-instruct-2503""]",41,22
"[""claude-3-7-sonnet-20250219"", ""o3-2025-04-16""]",144,35
"[""claude-3-7-sonnet-20250219"", ""o3-mini""]",88,40
"[""claude-3-7-sonnet-20250219"", ""o4-mini-2025-04-16""]",126,39
"[""claude-3-7-sonnet-20250219"", ""qwen-max-2025-01-25""]",77,30
"[""claude-3-7-sonnet-20250219"", ""qwen3-235b-a22b""]",76,23
"[""claude-3-7-sonnet-20250219"", ""qwen3-235b-a22b-instruct-2507""]",10,2
"[""claude-3-7-sonnet-20250219"", ""qwen3-235b-a22b-no-thinking""]",125,42
"[""claude-3-7-sonnet-20250219"", ""qwen3-30b-a3b""]",74,33
"[""claude-3-7-sonnet-20250219"", ""qwq-32b""]",65,29
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""claude-opus-4-20250514""]",195,62
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""claude-opus-4-20250514-thinking-16k""]",84,25
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""claude-sonnet-4-20250514""]",158,50
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""claude-sonnet-4-20250514-thinking-32k""]",74,28
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""command-a-03-2025""]",135,50
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""deepseek-r1-0528""]",132,37
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""deepseek-v3-0324""]",123,29
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gemini-2.0-flash-001""]",83,36
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gemini-2.5-flash""]",211,55
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",81,26
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gemini-2.5-flash-preview-04-17""]",101,34
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gemini-2.5-pro""]",191,45
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gemini-2.5-pro-preview-05-06""]",93,16
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gemma-3-27b-it""]",93,34
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gemma-3n-e4b-it""]",44,20
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gpt-4.1-2025-04-14""]",119,36
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""gpt-4.1-mini-2025-04-14""]",114,41
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""grok-3-mini-beta""]",97,40
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""grok-3-mini-high""]",44,28
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""grok-3-preview-02-24""]",94,26
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""grok-4-0709""]",22,3
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""hunyuan-turbos-20250416""]",23,4
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""kimi-k2-0711-preview""]",38,10
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""llama-3.3-70b-instruct""]",68,30
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""llama-4-maverick-03-26-experimental""]",120,36
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""llama-4-maverick-17b-128e-instruct""]",62,27
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""llama-4-scout-17b-16e-instruct""]",35,15
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""magistral-medium-2506""]",24,13
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""minimax-m1""]",104,52
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""mistral-medium-2505""]",187,68
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""mistral-small-2506""]",26,10
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""mistral-small-3.1-24b-instruct-2503""]",43,22
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""o3-2025-04-16""]",158,35
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""o3-mini""]",93,34
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""o4-mini-2025-04-16""]",109,39
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""qwen-max-2025-01-25""]",61,22
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""qwen3-235b-a22b""]",91,30
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""qwen3-235b-a22b-instruct-2507""]",5,3
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""qwen3-235b-a22b-no-thinking""]",184,57
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""qwen3-30b-a3b""]",92,24
"[""claude-3-7-sonnet-20250219-thinking-32k"", ""qwq-32b""]",57,24
"[""claude-opus-4-20250514"", ""claude-opus-4-20250514-thinking-16k""]",92,48
"[""claude-opus-4-20250514"", ""claude-sonnet-4-20250514""]",189,118
